时间,国民总收入(亿元),国内生产总值(亿元),第一产业增加值(亿元),第二产业增加值(亿元),第三产业增加值(亿元),人均国内生产总值(元),全社会固定资产投资(亿元),年末总人口(万人),能源消费总量(万吨标准煤)
1990年,18923.3,18872.9,5017.2,7744.3,6111.4,1663,4517,114333,98703
1991年,22050.3,22005.6,5288.8,9129.8,7587,1912,5594.5,115823,103783
1992年,27208.2,27194.5,5800.3,11725.3,9668.9,2334,8080.1,117171,109170
1993年,35599.2,35673.2,6887.6,16473.1,12312.6,3027,13072.3,118517,115993
1994年,48548.2,48637.5,9471.8,22453.1,16712.5,4081,17042.1,119850,122737
1995年,60356.6,61339.9,12020.5,28677.5,20641.9,5091,20019.3,121121,131176
1996年,70779.6,71813.6,13878.3,33828.1,24107.2,5898,22913.5,122389,135192
1997年,78802.9,79715,14265.2,37546,27903.8,6481,24941.1,123626,135909
1998年,83817.6,85195.5,14618.7,39018.5,31558.3,6860,28406.2,124761,136184
1999年,89366.5,90564.4,14549,41080.9,34934.5,7229,29854.7,125786,140569
2000年,99066.1,100280.1,14717.4,45664.8,39897.9,7942,32917.7,126743,146964
2001年,109276.2,110863.1,15502.5,49660.7,45700,8717,37213.49,127627,155547
2002年,120480.4,121717.4,16190.2,54105.5,51421.7,9506,43499.91,128453,169577
2003年,136576.3,137422,16970.2,62697.4,57754.4,10666,55566.61,129227,197083
2004年,161415.4,161840.2,20904.3,74286.9,66648.9,12487,70477.43,129988,230281
2005年,185998.9,187318.9,21806.7,88084.4,77427.8,14368,88773.61,130756,261369
2006年,219028.5,219438.5,23317,104361.8,91759.7,16738,109998.16,131448,286467
2007年,270704,270092.3,27674.1,126633.6,115784.6,20494,137323.94,132129,311442
2008年,321229.5,319244.6,32464.1,149956.6,136823.9,24100,172828.4,132802,320611
2009年,347934.9,348517.7,33583.8,160171.7,154762.2,26180,224598.77,133450,336126
2010年,410354.1,412119.3,38430.8,191629.8,182058.6,30808,251683.77,134091,360648
2011年,483392.8,487940.2,44781.4,227038.8,216120,36302,311485.13,134735,387043
2012年,537329,538580,49084.5,244643.3,244852.2,39874,374694.74,135404,402138
2013年,588141.2,592963.2,53028.1,261956.1,277979.1,43684,446294.09,136072,416913
2014年,642097.6,641280.6,55626.3,277571.8,308082.5,47005,512020.65,136782,425806
2015年,683390.5,685992.9,57774.6,282040.3,346178,50028,561999.83,137462,429905
2016年,737074,740060.8,60139.2,296547.7,383373.9,53680,606465.66,138271,435819
2017年,818461,820754.3,62099.5,332742.7,425912.1,59201,641238.39,139008,449000
